parameter,mean,median,mode,hpd_min,hpd_max,method,repressors,operator,IPTGuM,pred_bohr
empirical_bohr,2.1606508731749337,2.084909781303205,1.9931533676183313,1.322216063792055,3.134716125432562,flow cytometry,22.0,O2,25.0,1.3218015496389768
fc_mu,0.8888855119714475,0.8894278145359648,0.8800763492438036,0.811288315995595,0.9700701811506268,flow cytometry,22.0,O2,25.0,1.3218015496389768
fc_sigma,0.12818620356404525,0.12424021930318338,0.11745261005781409,0.08183767503189833,0.18382442762319467,flow cytometry,22.0,O2,25.0,1.3218015496389768
delta_bohr,0.8388493235359505,0.7631082316642281,0.6713518179793545,0.00041451415307824924,1.8129145757935854,flow cytometry,22.0,O2,25.0,1.3218015496389768
empirical_bohr,2.9061355444414465,2.826611496335533,2.7266056107157413,2.0733667344783715,3.9302321376596345,flow cytometry,22.0,O2,50.0,2.3690129546923124
fc_mu,0.9433664670899372,0.9440970330616677,0.9385784452797021,0.9007369425919648,0.9863835618218593,flow cytometry,22.0,O2,50.0,2.3690129546923124
fc_sigma,0.0727500577012067,0.06985465055244744,0.06470705358257292,0.043494847800045,0.1078019405495861,flow cytometry,22.0,O2,50.0,2.3690129546923124
delta_bohr,0.5371225897491421,0.45759854164322045,0.3575926560234288,-0.29564622021394094,1.561219182967322,flow cytometry,22.0,O2,50.0,2.3690129546923124
empirical_bohr,3.629737950208186,3.4682791133208974,3.30517842032966,2.4608336305078846,5.058812411719614,flow cytometry,22.0,O2,75.0,2.9167878051457627
fc_mu,0.9689812528998989,0.9697716116684045,0.9646060343723245,0.9413918012208407,0.9993187556568662,flow cytometry,22.0,O2,75.0,2.9167878051457627
fc_sigma,0.05685770295126233,0.0547394003900542,0.05096777616510635,0.03306708055396646,0.08320557344029188,flow cytometry,22.0,O2,75.0,2.9167878051457627
delta_bohr,0.7129501450623977,0.5514913081751345,0.3883906151838974,-0.45595417463787813,2.142024606573851,flow cytometry,22.0,O2,75.0,2.9167878051457627
empirical_bohr,4.235996716765841,4.041318749868842,3.831615140052386,2.9417011721869724,5.992939193723197,flow cytometry,22.0,O2,100.0,3.2645838070587097
fc_mu,0.981848111291054,0.9827292399523092,0.9787852411239278,0.9632212066212734,0.9999604439548506,flow cytometry,22.0,O2,100.0,3.2645838070587097
fc_sigma,0.039200503086541244,0.0373775619073685,0.035278890463300155,0.022581624812581993,0.058844835824290675,flow cytometry,22.0,O2,100.0,3.2645838070587097
delta_bohr,0.9714129097071451,0.7767349428101324,0.5670313329936763,-0.3228826348717373,2.7283553866644876,flow cytometry,22.0,O2,100.0,3.2645838070587097
empirical_bohr,5.780787200694565,5.575788063734883,5.194294196421204,3.7303023785077887,8.430843052875145,flow cytometry,22.0,O2,250.0,4.112377713478761
fc_mu,0.9945888900357189,0.9962258093501088,0.9944824810927377,0.9840145160071068,0.9999994775513402,flow cytometry,22.0,O2,250.0,4.112377713478761
fc_sigma,0.029359310686143517,0.027402033189478536,0.026424561041846484,0.015332973485650032,0.04751610835785833,flow cytometry,22.0,O2,250.0,4.112377713478761
delta_bohr,1.6684094872157995,1.463410350256122,1.081916482942443,-0.38207533497097224,4.3184653393963846,flow cytometry,22.0,O2,250.0,4.112377713478761
empirical_bohr,5.480558474738308,5.263252173598056,4.904655778635212,3.392199766838519,8.13162811699296,flow cytometry,22.0,O2,500.0,4.502885702819858
fc_mu,0.992600871778404,0.994848241902349,0.9926425394430393,0.9780239602930061,0.999999775045725,flow cytometry,22.0,O2,500.0,4.502885702819858
fc_sigma,0.05036449161681685,0.0480765032704604,0.04622745785342689,0.029675027717283232,0.07838171240127595,flow cytometry,22.0,O2,500.0,4.502885702819858
delta_bohr,0.9776727719184357,0.7603664707781981,0.40177007581535396,-1.1106859359813392,3.628742414173102,flow cytometry,22.0,O2,500.0,4.502885702819858
empirical_bohr,5.174673522399595,4.955592436944885,4.5663728753590735,3.1393865854050453,7.589747118607463,flow cytometry,22.0,O2,1000.0,4.7316817667489195
fc_mu,0.990558885275523,0.9930053635610643,0.9897113590250505,0.9733557791557826,0.9999998267108166,flow cytometry,22.0,O2,1000.0,4.7316817667489195
fc_sigma,0.05163526324787076,0.0489059648838773,0.04793325310475168,0.030112002103974207,0.08061198216874926,flow cytometry,22.0,O2,1000.0,4.7316817667489195
delta_bohr,0.442991755650679,0.2239106701959659,-0.16530889138984595,-1.5922951813438742,2.858065351858544,flow cytometry,22.0,O2,1000.0,4.7316817667489195
empirical_bohr,4.096947932799189,3.8829535132993866,3.5482214423714478,2.4111488074514673,6.159899979191113,flow cytometry,22.0,O2,5000.0,4.935980867508934
